EndDate,Observations,Variable,Coefficient,StandardError,ExPostOnly
1970-10-01,40,Intercept,12.1891456855806,6.64260379506705,1
1970-10-01,40,GDPGrowth_L1,-0.112510870630931,0.217165936258889,1
1970-10-01,40,Inflation_L1,-0.105322538099382,0.636863345190237,1
1970-10-01,40,Inflation_L2,0.577301050501105,0.631975109916663,1
1970-10-01,40,Inflation_L3,-0.885278983448317,0.635699069806627,1
1970-10-01,40,Inflation_L4,-0.766187101711408,0.632653245643145,1
1970-10-01,40,Unemployment_L1,-3.56076772235826,3.33177743597614,1
1970-10-01,40,Unemployment_L2,6.3631304512126,5.69132403976163,1
1970-10-01,40,Unemployment_L3,-2.14526911534563,5.30054636258939,1
1970-10-01,40,Unemployment_L4,-1.29952096688213,3.01386670124748,1
1970-10-01,40,InterestRate_L1,0.843493402732765,1.5503509437032,1
1970-10-01,40,InterestRate_L2,-2.43649107007693,2.4390402825907,1
1970-10-01,40,InterestRate_L3,2.14517737155977,2.51743798086189,1
1970-10-01,40,InterestRate_L4,-0.89994397949414,1.60151756442019,1
1971-01-01,41,Intercept,7.65574971633345,7.35620708574849,1
1971-01-01,41,GDPGrowth_L1,-0.2308930514327,0.242878131916291,1
1971-01-01,41,Inflation_L1,0.211724114978554,0.714298389695454,1
1971-01-01,41,Inflation_L2,0.524410831350719,0.718574665514455,1
1971-01-01,41,Inflation_L3,-0.524694424611557,0.709952482743335,1
1971-01-01,41,Inflation_L4,-0.361045021732192,0.702917445322719,1
1971-01-01,41,Unemployment_L1,-3.52592818908033,3.78979360145424,1
1971-01-01,41,Unemployment_L2,4.26794009138741,6.42445460553402,1
1971-01-01,41,Unemployment_L3,0.976629787363302,5.91103199168522,1
1971-01-01,41,Unemployment_L4,-1.56449380152158,3.42671763482816,1
1971-01-01,41,InterestRate_L1,0.175495082607499,1.74506815581369,1
1971-01-01,41,InterestRate_L2,-2.40407758320407,2.77432230568544,1
1971-01-01,41,InterestRate_L3,1.43890908351351,2.85088348298293,1
1971-01-01,41,InterestRate_L4,0.20480075758554,1.77251091169935,1
1971-04-01,42,Intercept,8.48629725102865,7.0737709292176,1
1971-04-01,42,GDPGrowth_L1,-0.259375021508632,0.233067848633984,1
1971-04-01,42,Inflation_L1,0.160328108352568,0.697532139420611,1
1971-04-01,42,Inflation_L2,0.403732646791529,0.668558283529265,1
1971-04-01,42,Inflation_L3,-0.535411547587867,0.700127886188473,1
1971-04-01,42,Inflation_L4,-0.431474090517803,0.679700523644527,1
1971-04-01,42,Unemployment_L1,-3.09557753842735,3.64317749696959,1
1971-04-01,42,Unemployment_L2,3.42352994794483,6.11973042080076,1
1971-04-01,42,Unemployment_L3,1.84427340691046,5.5798189376461,1
1971-04-01,42,Unemployment_L4,-2.13559039491234,3.1912153228454,1
1971-04-01,42,InterestRate_L1,0.587174860784967,1.52208316094587,1
1971-04-01,42,InterestRate_L2,-2.79745301999072,2.62694395058023,1
