Variable,PreCOVID,PostCOVID,CoefficientChange
Intercept,2.70364778485771,-49.114687517454,-51.8183353023118
GDPGrowth_L1,0.127294584065339,0.58418723544487,0.456892651379531
Inflation_L1,-0.0711842403005172,2.567224864057,2.63840910435752
Inflation_L2,-0.0378025401515797,2.48614906307312,2.5239516032247
Inflation_L3,-0.119891847621087,0.125797336461431,0.245689184082518
Inflation_L4,-0.0623250277571343,-2.18175175256086,-2.11942672480373
Unemployment_L1,-3.41150275539868,9.1205993413884,12.5321020967871
Unemployment_L2,3.89058917496945,-1.60008898217691,-5.49067815714636
Unemployment_L3,0.497886965204854,-0.7136147635287,-1.21150172873355
Unemployment_L4,-0.903857474894111,-1.08971263283853,-0.185855157944415
InterestRate_L1,0.147884952631128,0.213211600275893,0.0653266476447652
InterestRate_L2,-1.05593483279316,14.9362145062593,15.9921493390525
InterestRate_L3,1.36674174229171,-12.8657432023119,-14.2324849446036
InterestRate_L4,-0.346441166033195,1.60834649694246,1.95478766297565
